type id deploy_time lat lon
SPOT 0-4496232 2025-05-12T12:00:00Z 59.2815 -16.5124
SPOT 0-4496931 2025-05-12T12:00:00Z 59.2815 -16.5124
SPOT 0-4498291 2025-05-12T12:00:00Z 59.2815 -16.5124
SPOT 0-4498293 2025-05-12T12:00:00Z 59.2815 -16.5124
SPOT 0-4496686 2025-05-12T12:00:00Z 59.2815 -16.5124
SPOT 0-4496644 2025-05-18T18:30:00Z 48.9204 -16.6375
SPOT 0-4496719 2025-05-18T18:30:00Z 48.9204 -16.6375
SPOT 0-4496738 2025-05-18T18:30:00Z 48.9204 -16.6375
SPOT 0-4496889 2025-05-18T18:30:00Z 48.9204 -16.6375
SPOT 0-4496973 2025-05-18T18:30:00Z 48.9204 -16.6375
SPOT 0-4496874 2025-05-24T22:20:00Z 36.4831 -8.3211
SPOT 0-4495957 2025-05-24T22:20:00Z 36.4831 -8.3211
SPOT 0-4497923 2025-05-24T22:20:00Z 36.4831 -8.3211
SPOT 0-4496946 2025-05-24T22:20:00Z 36.4831 -8.3211
SPOT 0-4498273 2025-05-24T22:20:00Z 36.4831 -8.3211
SPOT 0-4498269 2025-05-30T20:10:00Z 39.2014 3.3971
SPOT 0-4498294 2025-05-30T20:10:00Z 39.2014 3.3971
SPOT 0-4497908 2025-05-30T20:10:00Z 39.2014 3.3971
SPOT 0-4497890 2025-05-30T20:10:00Z 39.2014 3.3971
SPOT 0-4498276 2025-05-30T20:10:00Z 39.2014 3.3971
MARGET 650686 2025-05-12T12:00:00Z 59.2815 -16.5124
MARGET 650658 2025-05-18T18:30:00Z 48.9204 -16.6375
MARGET 650659 2025-05-30T20:10:00Z 39.2014 3.3971
MELODI OTC25-MELODI-14 2025-05-12T12:00:00Z 59.2815 -16.5124
MELODI OTC25-MELODI-04 2025-05-18T18:30:00Z 48.9204 -16.6375
MELODI OTC25-MELODI-15 2025-05-24T22:20:00Z 36.4831 -8.3211
OMB OTC25-OMB-07 2025-05-12T12:00:00Z 59.2815 -16.5124
